Jaksotus 2026-2027;Kurre 7.37.2.1
Helsingin normaalilyseo;12.03.2026 20:27
;Viikkotunnit

-;Periodi 1;Periodi 2;Periodi 3;Periodi 4;Periodi 5;Yht.;Ryhmä/palkki;;Koko;
;;5;;;;5;1:;RUA01.1;0;
;;5;;;;5;1:;RUA02.1;0;
;;;;5;;5;3:;RUA02.1;0;
;;;;;5;5;2:;RUA03.1;1;
;5;;;;;5;4:;RUA04.1;21;
;;5;;;;5;7:;RUA05.1;22;
;;;;5;;5;2:;RUA06.1;23;
;;;5;;;5;2:;RUA07.1;6;
;;5;;;;5;3:;RUA08.1;6;
;5;;;;;5;3:;RUA10.1;12;
;5;;;;;5;1:;RUB11.1;0;
;5;;;;;5;2:;RUB11.2;0;
;5;;;;;5;6:;RUB11.3;0;
;5;;;;;5;1:;RUB12.1;0;
;;5;;;;5;5:;RUB12.1;0;
;;;5;;;5;4:;RUB12.2;0;
;5;;;;;5;2:;RUB12.2;0;
;;5;;;;5;7:;RUB12.3;0;
;5;;;;;5;6:;RUB12.3;0;
;;;;5;;5;2:;RUB13.1;1;
;;;;;5;5;2:;RUB13.2;0;
;;;;;5;5;5:;RUB13.3;0;
;5;;;;;5;5:;RUB14.1;18;
;5;;;;;5;6:;RUB14.2;32;
;;;5;;;5;6:;RUB15.1;30;
;;;;5;;5;6:;RUB15.2;16;
;;;;5;;5;3:;RUB16.1;12;
;;;;;5;5;1:;RUB17.1;10;
;5;;;;;5;3:;RUB19.1;18;
;;;5;;;5;6:;RUB19.2;2;
;;;;5;;5;5:;SAB21.1;0;
;5;;;;;5;8:;SAB210.1;0;
;;;;;5;5;4:;SAB22.1;0;
;5;;;;;5;6:;SAB23.1;1;
;;5;;;;5;1:;SAB24.1;1;
;;;;5;;5;1:;SAB25.1;1;
;;;;;5;5;6:;SAB26.1;0;
;5;;;;;5;8:;SAB28.1;0;
;;5;;;;5;5:;SAB31.1;0;
;5;;;;;5;8:;SAB310.1;0;
;;;5;;;5;5:;SAB32.1;0;
;;;;5;;5;5:;SAB33.1;0;
;;;;;5;5;4:;SAB34.1;0;
;5;;;;;5;6:;SAB35.1;2;
;;5;;;;5;1:;SAB36.1;2;
;;;;5;;5;1:;SAB37.1;2;
;;;;;5;5;6:;SAB38.1;2;
;;;5;;;5;5:;TE01.1;8;
;;;;5;;5;5:;TE01.2;5;
;;;;;5;5;3:;TE01.3;6;
;5;;;;;5;1:;TE02.1;4;
;;5;;;;5;7:;TE03.1;2;
;;;5;;;5;1:;TE04.1;1;
;;;5;;;5;1:;TI01.1;4;
;;;;;5;5;6:;TI02.1;7;
;;;5;;;5;1:;TI03.1;1;
;5;;;;;5;7:;TO01.1;0;
;5;;;;;5;7:;TO01.2;0;
;5;;;;;5;7:;TO01.3;0;
;;5;;;;5;2:;UE01.1;6;
